nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Port Klang,2.999438435121942,101.39139250074986,commuter_rail,1995.0,779
2,Jalan Kastam,3.013175214565678,101.40245322326138,commuter_rail,1995.0,779
3,Kampung Raja Uda,3.020242537915983,101.41010196729032,commuter_rail,1995.0,779
4,Teluk Gadong,3.033973476579007,101.42483109308772,commuter_rail,1995.0,779
5,Teluk Pulai,3.040804977224766,101.43217540921188,commuter_rail,1995.0,779
6,Klang,3.043199555934763,101.44971895033842,commuter_rail,1995.0,779
7,Bukit Badak,3.036036499891864,101.47026786841792,commuter_rail,1995.0,779
8,Padang Jawa,3.052340261817861,101.49269977916816,commuter_rail,1995.0,779
9,Shah Alam,3.056470970582623,101.52513110311207,commuter_rail,1995.0,779
10,Batu Tiga,3.075968190853064,101.55973110809572,commuter_rail,1995.0,779
11,Subang Jaya,3.084675855186731,101.58802549460528,commuter_rail,1995.0,779
12,Setia Jaya,3.083155176969868,101.61144500089132,commuter_rail,1995.0,779
13,Seri Setia,3.084534977935093,101.6218938595685,commuter_rail,1995.0,779
14,Kampung Dato Harun,3.084457383875943,101.63230488250514,commuter_rail,1995.0,779
15,Jalan Templer,3.083473666265022,101.65648144048116,commuter_rail,1995.0,779
16,Petaling,3.08621969045113,101.66416805282697,commuter_rail,1995.0,779
17,Pantai Dalam,3.095656080180717,101.67001959142527,commuter_rail,1995.0,779
18,Angkasapuri,3.1132507548391,101.67333021338754,commuter_rail,1995.0,779
19,KL Sentral,3.13469038592343,101.68620960733556,commuter_rail,2001.0,779
19,KL Sentral,3.13469038592343,101.68620960733556,commuter_rail,2001.0,775
20,Kuala Lumpur,3.139613473051924,101.69372349568792,commuter_rail,1995.0,779
20,Kuala Lumpur,3.139613473051924,101.69372349568792,commuter_rail,1995.0,775
21,Bank Negara,3.154400946357839,101.69280587553072,commuter_rail,1995.0,779
21,Bank Negara,3.154400946357839,101.69280587553072,commuter_rail,1995.0,775
22,Putra,3.165288619347958,101.69103716578694,commuter_rail,1995.0,779
22,Putra,3.165288619347958,101.69103716578694,commuter_rail,1995.0,775
23,Segambut,3.186459611799271,101.66420687622968,commuter_rail,2015.0,779
24,Kepong,3.202737018689398,101.63730281635046,commuter_rail,2015.0,779
25,Kepong Sentral,3.208706037928944,101.62851413739688,commuter_rail,2015.0,779
26,Sungai Buloh,3.206221572743964,101.58023770846673,commuter_rail,2015.0,779
27,EcoCity,3.118744248862417,101.67323938427784,commuter_rail,2018.0,779
28,Kuang,3.258224909911704,101.55484545368132,commuter_rail,2015.0,779
29,Rawang,3.318938854760148,101.57479335551318,commuter_rail,2015.0,779
30,Serendah,3.376121693178078,101.61439992024924,commuter_rail,2015.0,779
31,Batang Kali,3.46858400861997,101.63774673870648,commuter_rail,2015.0,779
32,Rasa,3.500173003711254,101.634161276697,commuter_rail,2015.0,779
33,Kuala Khubu Baru,3.553312907718748,101.63948607378812,commuter_rail,2015.0,779
34,Tanjung Malim,3.68493219430647,101.51799313778264,commuter_rail,2015.0,779
35,Sentul,3.182093609598404,101.688644796133,commuter_rail,2015.0,775
36,Sentul,3.182119060807314,101.68865190023544,commuter_rail,1995.0,779
37,Ampang,3.150392731676718,101.76020844271784,light_rail,1996.0,771
38,Cahaya,3.140630801644278,101.75656299200487,light_rail,1996.0,771
39,Cempaka,3.138473918385429,101.75299886463256,light_rail,1996.0,771
40,Pandan Indah,3.13476783698303,101.74667342151928,light_rail,1996.0,771
41,Pandan Jaya,3.130227581421082,101.73892950731994,light_rail,1996.0,771
42,Maluri,3.123254227145665,101.72695644308868,light_rail,1996.0,771
43,Miharja,3.120961670391012,101.71782257824871,light_rail,1996.0,771
44,Chan Sow Lin,3.127797145814228,101.7155683876358,light_rail,1996.0,771
45,Pudu,3.134925518000827,101.71199833471934,light_rail,1996.0,771
46,Hang Tuah,3.139818258074541,101.70626158989243,light_rail,1996.0,771
47,Plaza Rakyat,3.144275458004458,101.70211673655194,light_rail,1996.0,771
48,Masjid Jamek,3.149458189592377,101.69639612500964,light_rail,1996.0,771
49,Bandaraya,3.155594649446132,101.69439457069342,light_rail,1996.0,771
50,Sultan Ismail,3.161242658570686,101.69409468926978,light_rail,1996.0,771
51,PWTC,3.16657094438709,101.69357817504208,light_rail,1998.0,771
51,PWTC,3.16657094438709,101.69357817504208,light_rail,1998.0,772
52,Titiwangsa,3.173543999836156,101.69527091816748,light_rail,1998.0,771
52,Titiwangsa,3.173543999836156,101.69527091816748,light_rail,1998.0,772
53,Sentul,3.178561688120965,101.695472844412,light_rail,1998.0,771
53,Sentul,3.178561688120965,101.695472844412,light_rail,1998.0,772
54,Sentul Timur,3.185915438263123,101.6952891118151,light_rail,1998.0,771
54,Sentul Timur,3.185915438263123,101.6952891118151,light_rail,1998.0,772
55,Cheras,3.112842474800118,101.71433697894264,light_rail,1998.0,772
56,Salak Selatan,3.102098580037605,101.70628819316624,light_rail,1998.0,772
57,Bandar Tun Razak,3.089611936689352,101.71238438773656,light_rail,1998.0,772
58,Bandar Tasik Selatan,3.076059923516098,101.71130814366182,light_rail,1998.0,772
59,Sungai Besi,3.063960999689968,101.70799052043157,light_rail,1998.0,772
60,Bukit Jalil,3.058188862248329,101.69217425020668,light_rail,1998.0,772
61,Sri Petaling,3.061536111220036,101.68709121617916,light_rail,1998.0,772
62,Awan Besar,3.062089370607509,101.6705900634064,light_rail,2015.0,772
63,Muhibbah,3.06196127813277,101.6625050916677,light_rail,2015.0,772
64,Alam Sutera,3.054682942770256,101.65648566504046,light_rail,2015.0,772
