nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Kačerov,50.04209760192603,14.461072176228782,default,0.0,338
2,Jinonice,50.054108,14.3691363,default,0.0,631
3,Radlická,50.0582064,14.3871907,default,0.0,631
4,Anděl,50.0697989,14.4036955,default,0.0,631
5,Národní třída,50.0795489,14.4201461,default,0.0,631
6,Smíchovské nádraží,50.0607745,14.4090187,default,0.0,631
7,Hůrka,50.0500022,14.3434207,default,0.0,631
8,Nové Butovice,50.0508323,14.3528406,default,0.0,631
9,Radlická,50.0578138,14.3883118,default,0.0,631
10,Jinonice,50.0542736,14.3703759,default,0.0,631
11,Smíchovské nádraží,50.06162,14.4091195,default,0.0,631
12,Anděl,50.070626,14.4039515,default,0.0,631
13,Karlovo náměstí,50.0742041,14.4162633,default,0.0,631
14,Karlovo náměstí,50.0747094,14.4173485,default,0.0,631
15,Národní třída,50.0803067,14.4203909,default,0.0,631
16,Florenc,50.0908405,14.4367809,default,0.0,631
17,Můstek,50.0832468,14.422754,default,0.0,631
18,Náměstí Republiky,50.088627,14.4299027,default,0.0,631
19,Palmovka,50.1041511,14.4752641,default,0.0,631
20,Vysočanská,50.1103634,14.5021414,default,0.0,631
21,Můstek,50.083609,14.4240064,default,0.0,631
22,Náměstí Republiky,50.0889562,14.4313659,default,0.0,631
23,Florenc,50.0899645,14.4390055,default,0.0,632
24,Florenc,50.0907835,14.4395971,default,0.0,632
25,Florenc,50.090705,14.4382792,default,0.0,631
26,Křižíkova,50.0926655,14.4520866,default,0.0,631
27,Invalidovna,50.0971367,14.4640859,default,0.0,631
28,Českomoravská,50.1062372,14.4924255,default,0.0,631
29,Kolbenova,50.1103163,14.5171773,default,0.0,631
30,Hloubětín,50.1065024,14.5373649,default,0.0,631
31,Křižíkova,50.0924164,14.4505873,default,0.0,631
32,Invalidovna,50.0968612,14.4626486,default,0.0,631
33,Zličín,50.052787,14.291506,default,0.0,631
34,Stodůlky,50.046661,14.3054522,default,0.0,631
35,Luka,50.0459424,14.3209034,default,0.0,631
36,Lužiny,50.0444843,14.3297996,default,0.0,631
37,Hůrka,50.0500123,14.342166,default,0.0,631
38,Nové Butovice,50.0508367,14.3515672,default,0.0,631
39,Zličín,50.0536963,14.2908185,default,0.0,631
40,Stodůlky,50.0467375,14.307621,default,0.0,631
41,Luka,50.0453703,14.3218229,default,0.0,631
42,Lužiny,50.0445198,14.3311649,default,0.0,631
43,Můstek,50.0832879,14.424788,default,0.0,630
44,Můstek,50.0840322,14.4240382,default,0.0,630
45,Petřiny,50.0859655,14.3453253,default,0.0,630
46,Nemocnice Motol,50.0751034,14.3405877,default,0.0,630
