nodeID_from,nodeID_to,line_id,year,mode
1,2,2962,,heavy_rail
1,3,2962,,heavy_rail
2,17,2962,,heavy_rail
3,4,2962,,heavy_rail
4,6,2962,,heavy_rail
5,7,2962,,heavy_rail
5,8,2962,,heavy_rail
6,8,2962,,heavy_rail
6,9,2962,,heavy_rail
9,10,2962,,heavy_rail
10,12,2962,,heavy_rail
11,12,2962,,heavy_rail
11,16,2962,,heavy_rail
13,15,2962,,heavy_rail
13,14,2962,,heavy_rail
14,16,2962,,heavy_rail
15,201,2962,,heavy_rail
17,18,2962,,heavy_rail
18,27,2962,,heavy_rail
19,20,2962,,heavy_rail
19,31,2962,,heavy_rail
20,22,2962,,heavy_rail
21,22,2962,,heavy_rail
21,23,2962,,heavy_rail
23,474,2962,,heavy_rail
24,25,2962,,heavy_rail
24,473,2962,,heavy_rail
25,26,2962,,heavy_rail
26,27,2962,,heavy_rail
28,29,2962,,heavy_rail
28,34,2962,,heavy_rail
29,30,2962,,heavy_rail
30,31,2962,,heavy_rail
32,33,2962,,heavy_rail
32,37,2962,,heavy_rail
33,35,2962,,heavy_rail
34,35,2962,,heavy_rail
36,37,2962,,heavy_rail
37,38,2962,,heavy_rail
38,39,2962,,heavy_rail
38,40,2962,,heavy_rail
39,49,2962,,heavy_rail
40,41,2962,,heavy_rail
41,42,2962,,heavy_rail
42,45,2962,,heavy_rail
43,44,2962,,heavy_rail
44,45,2962,1989.0,heavy_rail
46,47,2962,,heavy_rail
47,48,2962,,heavy_rail
48,49,2962,,heavy_rail
201,202,2962,2022.0,heavy_rail
202,203,2962,2022.0,heavy_rail
203,204,2962,2022.0,heavy_rail
204,205,2962,2022.0,heavy_rail
473,474,2962,1995.0,heavy_rail
51,53,2964,,commuter_rail
52,53,2964,,commuter_rail
53,73,2964,,commuter_rail
70,240,2964,,commuter_rail
70,72,2964,,commuter_rail
71,240,2964,,commuter_rail
71,74,2964,,commuter_rail
72,131,2964,,commuter_rail
73,131,2964,,commuter_rail
74,75,2964,,commuter_rail
75,76,2964,,commuter_rail
76,86,2964,,commuter_rail
86,87,2964,,commuter_rail
87,88,2964,,commuter_rail
88,132,2964,,commuter_rail
89,132,2964,,commuter_rail
89,90,2964,,commuter_rail
90,91,2964,,commuter_rail
91,133,2964,,commuter_rail
92,134,2964,,commuter_rail
92,133,2964,,commuter_rail
93,94,2964,,commuter_rail
93,138,2964,,commuter_rail
94,96,2964,,commuter_rail
95,96,2964,,commuter_rail
95,97,2964,,commuter_rail
97,98,2964,,commuter_rail
97,100,2964,,commuter_rail
99,100,2964,,commuter_rail
100,140,2964,,commuter_rail
101,102,2964,,commuter_rail
101,185,2964,,commuter_rail
101,159,2964,,commuter_rail
134,135,2964,,commuter_rail
135,138,2964,,commuter_rail
136,137,2964,,commuter_rail
137,138,2964,,commuter_rail
139,140,2964,,commuter_rail
140,142,2964,,commuter_rail
141,142,2964,,commuter_rail
141,143,2964,,commuter_rail
143,144,2964,,commuter_rail
144,183,2964,,commuter_rail
156,168,2964,,commuter_rail
157,166,2964,,commuter_rail
157,165,2964,,commuter_rail
158,159,2964,,commuter_rail
159,161,2964,,commuter_rail
160,161,2964,,commuter_rail
160,163,2964,,commuter_rail
161,162,2964,,commuter_rail
163,164,2964,,commuter_rail
164,165,2964,,commuter_rail
166,168,2964,,commuter_rail
167,168,2964,,commuter_rail
183,184,2964,,commuter_rail
184,185,2964,,commuter_rail
185,186,2964,,commuter_rail
50,170,2965,,commuter_rail
54,55,2965,,commuter_rail
54,169,2965,,commuter_rail
55,56,2965,,commuter_rail
56,57,2965,,commuter_rail
57,58,2965,,commuter_rail
58,59,2965,,commuter_rail
59,60,2965,,commuter_rail
60,61,2965,,commuter_rail
61,62,2965,,commuter_rail
62,63,2965,,commuter_rail
63,64,2965,,commuter_rail
64,145,2965,,commuter_rail
65,145,2965,,commuter_rail
65,128,2965,,commuter_rail
77,128,2965,,commuter_rail
